Submission Number,Date,Rating,Status,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended
441,9th May 2022,8,Trip Verified,Boeing 787,Solo Leisure,Premium Economy,London to Mexico City,22-Apr,5,4,4,4,yes
442,8th May 2022,1,Not Verified,Unknown,Business,Economy Class,Glasgow to New York,22-May,3,4,1,1,no
443,5th May 2022,3,Not Verified,Unknown,Solo Leisure,Economy Class,London Heathrow to Los Angeles,22-May,1,5,4,1,no
444,4th May 2022,10,Trip Verified,Boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,22-May,5,5,5,5,yes
445,4th May 2022,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Los Angeles to London,22-May,Unknown,Unknown,Unknown,1,no
446,29th April 2022,1,Not Verified,Boeing 777,Solo Leisure,Economy Class,London to Cape Town,22-Apr,2,1,1,1,no
447,29th April 2022,10,Trip Verified,Unknown,Solo Leisure,Economy Class,São Paulo to Milan via London,22-Apr,5,5,5,5,yes
448,28th April 2022,8,Trip Verified,A321 Neo,Family Leisure,Business Class,Madrid to London Heathrow,22-Apr,3,5,5,4,yes
449,27th April 2022,10,Not Verified,A320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,22-Apr,4,5,5,5,yes
450,24th April 2022,1,Trip Verified,Unknown,Business,Business Class,London to Aberdeen,22-Apr,1,2,3,1,no
451,23rd April 2022,1,Trip Verified,A320,Solo Leisure,Business Class,Pisa to London Heathrow,22-Mar,1,1,1,1,no
452,20th April 2022,1,Not Verified,Boeing 737 800,Couple Leisure,Economy Class,Johannesburg to Durban,22-Apr,1,1,1,1,no
453,20th April 2022,1,Not Verified,A320,Couple Leisure,Economy Class,Gothenburg to Manchester via London,22-Apr,3,3,1,1,no
454,20th April 2022,9,Not Verified,Boeing 787,Solo Leisure,Business Class,Chicago to London,22-Mar,5,5,3,4,yes
455,16th April 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Riyadh to Nice via London,22-Apr,2,3,1,2,no
456,15th April 2022,1,Trip Verified,Unknown,Couple Leisure,Business Class,London to Glasgow,22-Apr,Unknown,Unknown,Unknown,1,no
457,14th April 2022,7,Not Verified,A380,Family Leisure,Economy Class,Glasgow to Washington via London,22-Apr,4,5,4,3,yes
458,12th April 2022,4,Trip Verified,A320neo,Business,Business Class,Malaga to London,22-Apr,2,4,2,2,no
459,12th April 2022,10,Not Verified,Unknown,Couple Leisure,Economy Class,Nice to Dallas via London,22-Apr,5,5,5,4,yes
460,11th April 2022,1,Not Verified,Unknown,Solo Leisure,Economy Class,London to Paris,22-Mar,1,1,1,3,no
461,8th April 2022,3,Trip Verified,A320 / Boeing 777,Couple Leisure,Business Class,Phoenix to Paris via London,22-Apr,3,2,2,2,no
462,7th April 2022,9,Trip Verified,Boeing 777-200,Business,Business Class,Phoenix to London Heathrow,22-Apr,5,5,4,5,yes
463,7th April 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Santorini to Los Angeles via London,22-Apr,1,1,1,1,no
464,6th April 2022,2,Trip Verified,Unknown,Family Leisure,Business Class,London to Tokyo,22-Jun,Unknown,Unknown,Unknown,1,no
465,6th April 2022,9,Not Verified,Embraer,Solo Leisure,Business Class,Edinburgh to London City,22-Apr,5,5,5,4,yes
466,6th April 2022,8,Not Verified,Boeing 777-200ER,Solo Leisure,Business Class,Vancouver to London,22-Mar,4,4,2,5,yes
467,4th April 2022,7,Trip Verified,A319,Couple Leisure,Business Class,London to Venice,22-Mar,2,4,2,3,yes
468,4th April 2022,1,Trip Verified,A320,Business,Business Class,London to Barcelona,22-Apr,1,1,1,1,no
469,4th April 2022,5,Trip Verified,Boeing 777,Couple Leisure,Business Class,Barbados to Heathrow,22-Mar,2,3,4,3,yes
470,4th April 2022,1,Not Verified,Unknown,Business,Economy Class,Heathrow to Bologna,22-Apr,1,1,1,1,no
471,3rd April 2022,5,Trip Verified,A320,Business,Business Class,Geneva to London,22-Apr,4,5,1,4,no
472,3rd April 2022,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Singapore,22-Apr,1,1,1,1,no
473,2nd April 2022,9,Trip Verified,Boeing 777,Couple Leisure,Business Class,London to Barbados,22-Mar,4,5,4,4,yes
474,2nd April 2022,4,Not Verified,Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,22-Mar,3,3,3,1,no
475,31st March 2022,2,Not Verified,Unknown,Couple Leisure,Economy Class,Sydney to Heathrow,22-Mar,3,1,2,4,no
476,31st March 2022,1,Trip Verified,A320,Business,Business Class,London to Malaga,22-Mar,2,1,1,1,no
477,30th March 2022,1,Not Verified,Unknown,Couple Leisure,Economy Class,Austin to London via Dublin,22-Mar,2,1,1,1,no
478,29th March 2022,3,Trip Verified,Boeing 777-200,Couple Leisure,Business Class,Cape Town to London,22-Mar,2,1,3,2,no
479,29th March 2022,4,Trip Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Funchal,22-Mar,3,3,1,3,no
480,29th March 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Gatwick to Antalya,22-Mar,Unknown,Unknown,Unknown,1,no
481,27th March 2022,2,Not Verified,Boeing 787-9,Couple Leisure,Economy Class,London to Austin,22-Mar,4,1,1,3,no
482,25th March 2022,4,Not Verified,Unknown,Couple Leisure,Premium Economy,Dubai to Heathrow,22-Mar,3,2,4,2,no
483,19th March 2022,3,Trip Verified,Boeing 787-900,Solo Leisure,First Class,Singapore to London,22-Mar,5,1,2,2,no
484,18th March 2022,3,Trip Verified,A350,Family Leisure,Economy Class,Dublin to Dubai via London,22-Mar,3,4,3,3,no
485,17th March 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Cairo,22-Feb,1,3,1,1,no
486,16th March 2022,4,Not Verified,Unknown,Couple Leisure,Premium Economy,Male to London,22-Mar,4,2,4,3,no
487,11th March 2022,1,Trip Verified,Unknown,Business,Economy Class,Copenhagen to London,22-Mar,2,2,1,1,no
488,11th March 2022,1,Trip Verified,Unknown,Family Leisure,Premium Economy,New York to London,22-Mar,1,3,1,1,no
489,6th March 2022,2,Trip Verified,A321-neo,Business,Business Class,London Heathrow to Sofia,21-Aug,3,5,1,2,no
490,6th March 2022,1,Trip Verified,Unknown,Family Leisure,Economy Class,Athens to Boston via London,21-Oct,2,3,1,1,no
491,5th March 2022,6,Trip Verified,Boeing 777,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,22-Feb,3,3,2,3,yes
492,4th March 2022,1,Trip Verified,Unknown,Business,Business Class,Bangalore to London,22-Mar,3,4,2,1,no
493,3rd March 2022,5,Trip Verified,Boeing 777-200,Couple Leisure,Business Class,London to Cape Town,22-Mar,3,3,3,3,no
494,2nd March 2022,5,Trip Verified,A320,Couple Leisure,Business Class,Lisbon to London,22-Feb,1,3,3,1,no
495,28th February 2022,9,Trip Verified,A350,Solo Leisure,Premium Economy,Vancouver to London,22-Feb,4,5,4,5,yes
496,26th February 2022,5,Trip Verified,A320,Business,Business Class,London to Malaga,22-Feb,3,3,3,2,no
497,21st February 2022,1,Trip Verified,A322,Business,Economy Class,London to Athens,22-Feb,2,3,1,1,no
498,20th February 2022,1,Not Verified,Unknown,Solo Leisure,Economy Class,London to Edinburgh,22-Feb,Unknown,Unknown,1,1,no
499,19th February 2022,10,Trip Verified,Boeing 787-9,Family Leisure,Business Class,Washington to London,22-Feb,4,5,5,4,yes
500,18th February 2022,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Accra to London ,22-Jan,1,2,1,1,no
501,13th February 2022,2,Not Verified,A320,Business,Business Class,Dublin to London,22-Feb,Unknown,Unknown,Unknown,1,no
502,13th February 2022,10,Trip Verified,Boeing 787-9,Family Leisure,Business Class,London to Washington,22-Feb,4,5,5,4,yes
503,11th February 2022,1,Trip Verified,Unknown,Family Leisure,Business Class,London to Porto,22-Feb,Unknown,Unknown,Unknown,1,no
504,8th February 2022,10,Trip Verified,Unknown,Solo Leisure,Business Class,Washington to London,21-Dec,5,5,4,5,yes
505,8th February 2022,10,Trip Verified,Unknown,Couple Leisure,Economy Class,Montréal to Dubai via London,22-Feb,Unknown,Unknown,Unknown,4,yes
506,1st February 2022,8,Not Verified,Boeing 787-9,Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,22-Jan,4,5,5,5,yes
507,25th January 2022,8,Trip Verified,Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,22-Jan,3,4,3,3,yes
508,25th January 2022,5,Trip Verified,Boeing 777,Couple Leisure,Business Class,London Heathrow to Orlando,22-Jan,2,4,3,3,no
509,19th January 2022,1,Not Verified,A380,Couple Leisure,Economy Class,London Heathrow to Dubai,22-Jan,2,1,1,1,no
510,12th January 2022,3,Not Verified,Unknown,Solo Leisure,Economy Class,New York to Newcastle via London,21-Nov,3,4,1,4,no
511,12th January 2022,6,Trip Verified,Boeing 737-800,Couple Leisure,Business Class,Cape Town to Durban,22-Jan,3,2,4,3,yes
512,10th January 2022,10,Trip Verified,Unknown,Solo Leisure,Economy Class,Durban to Cape Town,22-Jan,5,5,5,5,yes
513,9th January 2022,1,Trip Verified,Unknown,Solo Leisure,Business Class,Bangalore to Detroit via London,22-Jan,4,2,1,1,no
514,9th January 2022,3,Trip Verified,Unknown,Business,Economy Class,New York to London,22-Jan,1,1,1,2,no
515,9th January 2022,1,Trip Verified,Unknown,Business,Economy Class,Las Vegas to London ,22-Jan,1,4,1,1,no
516,7th January 2022,1,Trip Verified,Unknown,Couple Leisure,Business Class,London to Dubai,21-Oct,2,1,1,1,no
517,6th January 2022,3,Not Verified,Unknown,Family Leisure,Economy Class,Warsaw to London,21-Dec,2,4,1,2,no
518,6th January 2022,3,Trip Verified,A319,Business,Business Class,Glasgow to London Heathrow,21-Dec,2,1,2,1,no
519,2nd January 2022,7,Trip Verified,Boeing 777,Couple Leisure,Business Class,London to Cape Town,21-Dec,3,3,4,3,yes
520,30th December 2021,1,Trip Verified,Unknown,Solo Leisure,Premium Economy,London to Tampa,21-Nov,1,1,1,1,no
521,29th December 2021,9,Trip Verified,A320-200,Solo Leisure,Business Class,Edinburgh to London,21-Dec,4,5,5,4,yes
522,28th December 2021,9,Trip Verified,A320-200,Solo Leisure,Business Class,London to Edinburgh,21-Dec,4,5,3,4,yes
523,27th December 2021,3,Not Verified,A380,Family Leisure,Economy Class,London Heathrow to Los Angeles,21-Dec,1,4,2,1,no
524,27th December 2021,9,Trip Verified,Boeing 777,Business,Economy Class,London to St Lucia,21-Dec,5,5,5,5,yes
525,24th December 2021,9,Trip Verified,Boeing 787,Couple Leisure,First Class,London to Chicago,21-Nov,4,5,4,4,yes
526,23rd December 2021,2,Trip Verified,A320,Solo Leisure,Business Class,London to Istanbul,21-Dec,1,2,1,2,no
527,20th December 2021,6,Trip Verified,Boeing 777,Couple Leisure,Business Class,Dubai to London Heaathrow,21-Dec,4,2,1,4,yes
528,19th December 2021,1,Trip Verified,A320,Solo Leisure,Economy Class,London to Aberdeen,21-Dec,Unknown,Unknown,1,1,no
529,16th December 2021,2,Trip Verified,Boeing 777,Couple Leisure,Business Class,London Gatwick to Cancun,21-Dec,1,5,5,3,no
530,12th December 2021,3,Trip Verified,Unknown,Business,Business Class,Kingston to London,21-Aug,1,2,2,1,no
531,8th December 2021,1,Trip Verified,Unknown,Family Leisure,Business Class,London to Delhi,21-Jan,1,1,1,1,no
532,6th December 2021,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Washington DC to Moscow via London,21-Dec,1,1,1,1,no
533,2nd December 2021,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Singapore to London,21-Jul,3,4,1,1,no
534,29th November 2021,2,Trip Verified,Unknown,Family Leisure,Economy Class,Cairo to Portland via London / Seattle,21-Nov,Unknown,Unknown,1,1,no
535,27th November 2021,4,Trip Verified,A320,Business,Business Class,London Heathrow to Paris CDG,21-Nov,3,4,1,3,no
536,25th November 2021,1,Trip Verified,Unknown,Business,Business Class,Manchester to London Heathrow,21-Nov,1,Unknown,1,2,no
537,25th November 2021,6,Trip Verified,A321 neo,Solo Leisure,Business Class,London to Tenerife,21-Nov,3,2,4,2,no
538,24th November 2021,8,Trip Verified,A321 neo,Solo Leisure,Business Class,Tenerife to London,21-Nov,4,5,4,4,yes
539,20th November 2021,2,Not Verified,A320,Solo Leisure,Economy Class,Stockholm to London Heathrow,21-Nov,1,5,1,2,no
540,19th November 2021,1,Trip Verified,Unknown,Business,Economy Class,Frankfurt to London,21-Nov,Unknown,Unknown,1,1,no
541,15th November 2021,1,Not Verified,A320neo,Couple Leisure,Business Class,London Heathrow to Tenerife South,21-Nov,3,3,2,1,no
542,15th November 2021,5,Trip Verified,A320 Neo,Couple Leisure,Business Class,Heathrow to Tenerife South,21-Nov,2,5,3,3,yes
543,14th November 2021,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Chicago,21-Nov,1,2,1,1,no
544,13th November 2021,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Mexico,21-Oct,2,3,2,2,no
545,13th November 2021,2,Trip Verified,Boeing 777,Couple Leisure,Economy Class,Manchester to Nassau via London,21-Oct,2,2,1,1,no
546,10th November 2021,4,Not Verified,Unknown,Family Leisure,Economy Class,Mumbai to Dublin via London,21-Nov,3,2,2,3,no
547,7th November 2021,2,Not Verified,Unknown,Solo Leisure,Premium Economy,Gibraltar to London,21-Nov,4,4,1,3,no
548,6th November 2021,10,Trip Verified,A321,Business,Economy Class,Belfast to London,21-Nov,4,5,4,4,yes
549,31st October 2021,6,Trip Verified,A321,Family Leisure,Business Class,Larnaca to London Heathrow,21-Oct,2,4,3,3,yes
550,29th October 2021,10,Trip Verified,A320,Couple Leisure,Business Class,Lisbon to London Heathrow,21-Sep,4,4,5,4,yes
551,29th October 2021,9,Trip Verified,Boeing 787,Couple Leisure,Premium Economy,Madrid to London,21-Oct,4,5,3,5,yes
552,25th October 2021,7,Not Verified,A320NEO,Family Leisure,Economy Class,London to Bologna,21-Oct,5,5,2,4,yes
553,24th October 2021,8,Trip Verified,A321 Neo,Business,Economy Class,London to Alicante,21-Oct,1,4,4,5,yes
554,23rd October 2021,8,Trip Verified,A321,Family Leisure,Business Class,London to Larnaca,21-Oct,3,5,4,4,yes
555,21st October 2021,3,Not Verified,A320,Business,Economy Class,Prague to London,21-Oct,4,5,1,1,no
556,20th October 2021,10,Trip Verified,Unknown,Couple Leisure,Economy Class,Male to London,21-Oct,5,5,5,5,yes
557,19th October 2021,6,Trip Verified,Unknown,Solo Leisure,Premium Economy,London to Toronto,21-Oct,3,3,4,4,yes
558,18th October 2021,10,Trip Verified,A350,Business,Business Class,London to Toronto,21-Oct,5,5,5,5,yes
559,16th October 2021,1,Not Verified,Unknown,Solo Leisure,Business Class,London Heathrow to Athens Greece,21-Sep,2,4,4,1,no
560,14th October 2021,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Cayman Islands ,20-Nov,Unknown,Unknown,Unknown,1,no
561,7th October 2021,2,Trip Verified,A320,Family Leisure,Economy Class,London to Prague,21-Oct,1,1,1,2,no
562,7th October 2021,7,Trip Verified,A321,Couple Leisure,Business Class,Larnaca to London Heathrow,21-Oct,3,4,4,4,yes
563,6th October 2021,1,Not Verified,Unknown,Couple Leisure,Economy Class,Heathrow to Manchester ,21-Aug,Unknown,Unknown,1,1,no
564,5th October 2021,1,Trip Verified,Unknown,Business,Business Class,London to Jersey,21-Sep,2,1,1,1,no
565,4th October 2021,9,Trip Verified,Unknown,Solo Leisure,Premium Economy,Denver to London,21-Oct,5,5,5,5,yes
566,3rd October 2021,8,Trip Verified,A321,Business,Economy Class,Belfast to London,21-Sep,4,3,4,5,yes
567,2nd October 2021,1,Not Verified,A320,Couple Leisure,Economy Class,Manchester to Aberdeen via Heathrow,21-Aug,1,1,1,1,no
568,1st October 2021,2,Trip Verified,Unknown,Couple Leisure,Business Class,London Heathrow to Tenerife south,21-Sep,3,1,1,1,no
569,26th September 2021,3,Trip Verified,Unknown,Business,Business Class,London to New York,21-Sep,3,1,3,4,no
570,22nd September 2021,7,Trip Verified,A320,Couple Leisure,Business Class,London Heathrow to Larnaca,21-Sep,3,3,3,3,yes
571,21st September 2021,8,Trip Verified,A320,Family Leisure,Business Class,London to Lisbon,21-Sep,3,5,3,4,yes
572,21st September 2021,3,Trip Verified,Embraer,Solo Leisure,Economy Class,Frankfurt to London,21-Sep,4,4,1,1,no
573,13th September 2021,1,Trip Verified,Unknown,Business,Economy Class,Geneva to Sao Paulo via London,20-Oct,Unknown,Unknown,Unknown,1,no
574,11th September 2021,2,Trip Verified,Unknown,Family Leisure,Economy Class,Abuja to London,21-Sep,Unknown,Unknown,1,3,no
575,9th September 2021,1,Trip Verified,Unknown,Business,Business Class,Mykonos to New York via London,21-Aug,Unknown,Unknown,Unknown,1,no
576,8th September 2021,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Boston to Tirana London,21-Sep,2,3,1,3,no
577,7th September 2021,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Washington Dulles to London ,21-Aug,1,1,1,1,no
578,27th August 2021,1,Trip Verified,Unknown,Business,Economy Class,Gatwick to Catania,21-Aug,Unknown,Unknown,Unknown,1,no
579,26th August 2021,5,Trip Verified,Boeing 787-8,Solo Leisure,Economy Class,London to Moscow Domodedovo,21-Aug,5,4,3,2,yes
580,22nd August 2021,10,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Athens,21-Aug,4,5,5,5,yes
581,19th August 2021,8,Trip Verified,A320,Family Leisure,Economy Class,London to Corfu,21-Aug,4,5,4,4,yes
582,17th August 2021,1,Trip Verified,Unknown,Family Leisure,Business Class,Moscow to London Heathrow,21-Aug,4,1,1,1,no
583,11th August 2021,2,Trip Verified,Unknown,Business,Business Class,London Heathrow to Munich,21-Aug,3,2,1,2,no
584,8th August 2021,6,Trip Verified,A330,Couple Leisure,Business Class,London Heathrow to Nice,21-Jul,3,4,3,3,no
585,27th July 2021,1,Trip Verified,Unknown,Family Leisure,Economy Class,London to Hong Kong,21-Apr,Unknown,Unknown,Unknown,1,no
586,22nd July 2021,1,Trip Verified,A230,Solo Leisure,Premium Economy,Belfast to Budapest via Heathrow,21-Jul,1,1,1,1,no
587,20th July 2021,8,Trip Verified,Boeing 777-200,Family Leisure,Business Class,Cancun to Gatwick,21-Jul,4,5,4,4,yes
588,13th July 2021,7,Trip Verified,Boeing 777-200,Family Leisure,Business Class,Gatwick to Cancun,21-Jul,5,5,4,5,yes
589,9th July 2021,1,Not Verified,Unknown,Family Leisure,Economy Class,Unknown,21-Jul,Unknown,Unknown,Unknown,1,no
590,7th July 2021,1,Not Verified,Unknown,Family Leisure,Economy Class,Bucharest to Toronto via London,21-Jul,3,3,1,2,no
591,27th June 2021,2,Not Verified,Unknown,Business,Business Class,Seattle to Bangalore via London,21-Jun,3,4,3,3,yes
592,22nd June 2021,4,Trip Verified,Boeing 787,Solo Leisure,Business Class,London to Mexico City,21-Jun,1,2,3,1,no
593,13th June 2021,8,Not Verified,A320,Couple Leisure,Business Class,Preveza to London,21-Jun,4,3,5,4,yes
594,7th June 2021,9,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Accra,21-Jun,4,4,4,4,yes
595,30th May 2021,9,Trip Verified,A320,Couple Leisure,Business Class,London Heathrow to Preveza,21-May,4,4,5,4,yes
596,26th May 2021,1,Trip Verified,Unknown,Family Leisure,Economy Class,Durban to Cape Town,21-Jan,3,3,3,1,no
597,15th May 2021,9,Trip Verified,A321NEO,Solo Leisure,Economy Class,Aberdeen to London Heathrow,21-May,4,5,4,4,yes
598,24th April 2021,8,Trip Verified,Unknown,Business,Business Class,Malaga to London,21-Apr,3,3,4,4,yes
599,7th April 2021,5,Trip Verified,Boeing 737-800,Solo Leisure,Economy Class,Johannesburg to Cape Town,21-Apr,4,5,5,4,yes
600,1st April 2021,4,Trip Verified,Unknown,Solo Leisure,Economy Class,Gatwick to Cancun,20-Dec,2,4,3,1,no
601,14th March 2021,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Bridgetown to London,21-Feb,1,1,1,1,no
602,21st February 2021,1,Trip Verified,Unknown,Family Leisure,Economy Class,Ottawa to Ahmedabad,20-Nov,1,1,1,1,no
603,20th February 2021,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Antigua to London,21-Jan,2,2,1,1,no
604,10th February 2021,1,Not Verified,Unknown,Solo Leisure,Economy Class,Sofia to London Heathrow,20-Dec,5,5,5,3,no
605,4th February 2021,10,Trip Verified,Unknown,Solo Leisure,Economy Class,Mumbai to London,21-Feb,5,5,4,5,yes
606,21st January 2021,4,Not Verified,Boeing 787-9,Business,First Class,Mexico City to London Heathrow,21-Jan,2,5,3,3,no
607,30th December 2020,1,Not Verified,Unknown,Family Leisure,Economy Class,London to Maldives,20-Dec,Unknown,Unknown,Unknown,1,no
608,27th December 2020,9,Not Verified,Unknown,Solo Leisure,Economy Class,Heathrow to Belfast,20-Dec,5,4,5,3,yes
609,26th December 2020,10,Not Verified,Unknown,Solo Leisure,Economy Class,London to Paris,20-Sep,5,5,5,5,yes
610,25th December 2020,10,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Cairo,20-Dec,5,5,5,4,yes
611,9th December 2020,4,Trip Verified,A350,Solo Leisure,Premium Economy,London Heathrow to Dubai,20-Jul,4,1,5,5,no
612,7th December 2020,7,Trip Verified,A321,Solo Leisure,Business Class,London to Tenerife,20-Dec,3,5,4,4,yes
613,2nd December 2020,3,Not Verified,Boeing 747,Family Leisure,Economy Class,London Heathrow to Lahore,20-Dec,1,1,1,1,no
614,22nd October 2020,9,Not Verified,Unknown,Solo Leisure,Economy Class,London to Venice,20-Oct,5,4,3,5,yes
615,22nd October 2020,10,Trip Verified,Unknown,Couple Leisure,Economy Class,Munich to London,19-Nov,5,5,5,5,yes
616,5th October 2020,5,Trip Verified,Unknown,Family Leisure,Economy Class,London to Bangalore,20-Oct,5,5,5,2,no
617,23rd September 2020,10,Trip Verified,A320neo,Solo Leisure,Business Class,Warsaw to London-Heathrow,20-Sep,5,5,4,5,yes
618,18th September 2020,1,Trip Verified,A321,Couple Leisure,Economy Class,London to Santorini,20-Aug,4,4,1,2,no
619,27th August 2020,1,Trip Verified,A321,Couple Leisure,Economy Class,London to Paris,20-Feb,2,3,5,1,no
620,8th August 2020,2,Trip Verified,A319,Business,Economy Class,Berlin to London,20-Aug,1,1,2,2,no
621,1st August 2020,10,Trip Verified,A320,Solo Leisure,Economy Class,Newcastle to London Heathrow,20-Jul,5,5,5,5,yes
622,31st July 2020,2,Trip Verified,Unknown,Solo Leisure,Premium Economy,London to Singapore,20-Mar,Unknown,Unknown,Unknown,1,no
623,23rd July 2020,1,Trip Verified,Unknown,Family Leisure,Economy Class,Austin to London,20-Jul,Unknown,Unknown,Unknown,1,no
624,23rd July 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Frankfurt,20-Apr,Unknown,Unknown,Unknown,1,no
625,11th June 2020,1,Trip Verified,Unknown,Business,Economy Class,London Heathrow to Lyon,20-Feb,1,1,1,1,no
626,8th June 2020,8,Trip Verified,Embraer 195,Business,Economy Class,London City to Edinburgh,19-Nov,3,4,5,3,yes
627,6th June 2020,1,Trip Verified,Unknown,Business,First Class,San Francisco to Edinburgh via London,20-May,Unknown,Unknown,Unknown,1,no
628,4th June 2020,2,Not Verified,Unknown,Business,Business Class,Rome to Los Angeles via London,20-Jun,Unknown,Unknown,Unknown,1,no
629,29th May 2020,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Chicago to Seville via Miami / Madrid,20-Mar,Unknown,Unknown,Unknown,1,no
630,18th May 2020,1,Trip Verified,A350,Solo Leisure,Premium Economy,London to Tel Aviv,20-Apr,Unknown,Unknown,Unknown,1,no
631,12th May 2020,1,Not Verified,Unknown,Couple Leisure,Business Class,San Diego to Barcelona via London,19-Dec,Unknown,Unknown,Unknown,1,no
632,10th May 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Toronto to London,20-May,Unknown,Unknown,Unknown,1,no
633,1st May 2020,1,Trip Verified,Unknown,Family Leisure,Premium Economy,Tokyo to London,20-Mar,3,2,2,1,no
634,29th April 2020,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Los Angeles to Paris via London,20-Mar,3,3,5,1,no
635,28th April 2020,10,Trip Verified,A350,Couple Leisure,Business Class,London Heathrow to Toronto ,20-Feb,5,5,5,5,yes
636,27th April 2020,8,Trip Verified,Boeing 747-400,Couple Leisure,Business Class,Las Vegas to London Heathrow ,20-Feb,5,5,5,5,yes
637,27th April 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Sydney to London via Singapore,20-Mar,1,1,1,1,no
638,25th April 2020,2,Trip Verified,Unknown,Business,Economy Class,Zurich to London,20-Apr,Unknown,Unknown,Unknown,1,no
639,19th April 2020,1,Not Verified,Unknown,Couple Leisure,Business Class,Vienna to London,20-Feb,3,3,3,1,no
640,19th April 2020,7,Trip Verified,A321neo,Solo Leisure,Economy Class,London-Heathrow to Warsaw,20-Mar,5,5,4,3,yes
641,11th April 2020,1,Trip Verified,Unknown,Business,Economy Class,Johannesburg to London,20-Mar,2,3,1,2,no
642,4th April 2020,1,Trip Verified,Unknown,Business,Economy Class,London to Stockholm,20-Apr,Unknown,Unknown,1,1,no
643,2nd April 2020,1,Not Verified,Unknown,Solo Leisure,Economy Class,London to Budapest,20-Mar,Unknown,Unknown,Unknown,1,no
644,2nd April 2020,3,Trip Verified,Boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,20-Mar,3,5,3,1,no
645,1st April 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Vancouver to London,20-Mar,Unknown,Unknown,1,1,no
646,31st March 2020,2,Not Verified,Unknown,Family Leisure,Economy Class,London to Marrakesh,19-Aug,Unknown,Unknown,Unknown,1,no
647,23rd March 2020,3,Not Verified,Boeing 777,Couple Leisure,Economy Class,Seattle to Heathrow,20-Mar,Unknown,Unknown,Unknown,5,no
648,22nd March 2020,10,Trip Verified,Unknown,Couple Leisure,Premium Economy,Mumbai to London Heathrow,20-Mar,5,5,5,5,yes
649,18th March 2020,1,Trip Verified,Unknown,Business,Economy Class,London to Valencia,20-Mar,Unknown,Unknown,Unknown,1,no
650,17th March 2020,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Gatwick to Funchal,20-Mar,1,4,1,1,no
651,17th March 2020,1,Trip Verified,Boeing 747-400,Business,Business Class,Chicago to London Heathrow,20-Mar,1,1,1,1,no
652,17th March 2020,1,Trip Verified,Boeing 747-400,Business,Business Class,London to New York JFK,20-Feb,1,1,1,1,no
653,16th March 2020,1,Not Verified,Unknown,Solo Leisure,Economy Class,London to Madrid,20-Mar,Unknown,Unknown,Unknown,1,no
654,14th March 2020,3,Trip Verified,Unknown,Business,Economy Class,Frankfurt to Buenos Aires via London,19-Oct,2,3,1,1,no
655,13th March 2020,2,Trip Verified,Unknown,Business,Business Class,London to Paris CDG,20-Mar,Unknown,Unknown,Unknown,1,no
656,9th March 2020,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London City to Berlin,20-Mar,Unknown,Unknown,1,1,no
657,8th March 2020,8,Trip Verified,Boeing 787,Solo Leisure,Economy Class,London to Beijing,20-Jan,3,5,4,4,yes
658,6th March 2020,9,Trip Verified,A380,Family Leisure,Economy Class,Hong Kong to London,20-Jan,5,5,5,5,yes
659,5th March 2020,9,Trip Verified,Boeing 777-200,Couple Leisure,Economy Class,Mumbai to London,20-Mar,4,5,5,5,yes
660,5th March 2020,8,Trip Verified,Boeing 777-200,Couple Leisure,Economy Class,London to Delhi,20-Feb,4,5,2,4,yes
